F1,F2,F3,F4,F5,F6,F7,F8,F9,Class
37,-38,106,-104,30,-17,69,75,6,0
78,-33,88,-4,8,0,10,81,70,0
37,-49,80,0,34,0,43,46,2,0
42,36,77,0,-22,0,36,101,64,0
37,-78,75,-1,26,-20,38,49,12,0
90,-40,107,0,64,-28,17,42,26,0
42,-30,76,0,42,0,34,35,2,0
69,59,82,0,-42,-5,13,126,112,0
68,67,82,0,-42,-6,13,126,112,0
37,-80,106,-1,30,1,69,75,6,0
44,-39,91,0,2,0,47,88,42,0
72,21,82,0,-42,-1,10,126,116,0
37,-85,77,0,20,0,40,56,16,0
45,32,77,0,28,0,32,48,16,0
87,-36,107,0,64,-9,20,42,22,0
66,77,82,0,-40,25,16,123,106,0
37,-35,77,0,20,0,40,56,16,0
72,-41,107,0,60,-31,35,47,12,0
47,-45,91,0,2,0,44,88,44,0
42,-31,91,0,2,0,48,88,40,0
75,-47,107,0,62,-2,32,45,12,0
47,-42,89,5,6,-8,41,84,42,0
47,44,77,0,-22,0,30,101,70,0
37,-31,80,0,34,0,43,46,2,0
72,-38,107,0,62,5,35,45,10,0
47,48,77,0,-22,0,30,101,70,0
64,1532,77,0,20,0,14,57,44,1
94,-35,107,0,68,-15,12,40,28,0
37,-42,75,0,26,-19,38,49,12,0
50,-62,88,0,6,-27,38,83,46,0
45,-47,91,0,2,0,46,88,42,0
37,-42,77,0,20,0,40,57,16,0
47,-38,89,4,6,-7,42,84,42,0
50,30,77,0,-22,0,28,101,72,0
43,-35,77,0,-2,0,34,79,46,0
71,42,82,0,-42,-7,11,126,114,0
45,-44,77,0,-2,0,32,79,48,0
42,23,77,0,28,0,34,48,14,0
45,-27,77,-2,44,-3,32,34,2,0
45,-98,81,0,44,0,36,37,2,0
37,-64,80,0,34,0,43,46,2,0
44,-36,91,0,2,0,47,88,42,0
79,1963,88,0,44,0,9,44,34,1
70,-29,107,0,60,-10,37,47,10,0
91,-38,107,0,64,-36,16,42,26,0
37,-64,106,-1,34,-2,69,72,4,0
